,Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins
6690,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,04:40,12h 10m,1 stop,No info,14781.0,5,9,16,30,4,40,730
6691,Air India,Mumbai,Hyderabad,BOM ? BLR ? HYD,20:15,09:15,13h,1 stop,No info,9535.0,3,6,20,15,9,15,780
6692,Air India,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,non-stop,No info,2050.0,4,3,21,5,22,25,80
6693,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25,8h 55m,2 stops,In-flight meal not included,10368.0,6,12,19,30,4,25,535
6694,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,22:35,14h 10m,1 stop,In-flight meal not included,10031.0,3,24,8,25,22,35,850
6695,SpiceJet,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4491.0,4,21,9,0,11,25,145
6696,Jet Airways,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,No info,7229.0,5,15,17,45,20,45,180
6697,SpiceJet,Banglore,New Delhi,BLR ? PNQ ? DEL,10:20,18:15,7h 55m,1 stop,No info,11401.0,3,3,10,20,18,15,475
6698,IndiGo,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,non-stop,No info,3597.0,6,27,14,45,17,5,140
6699,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:05,16h 5m,1 stop,No info,7927.0,6,12,17,0,9,5,965
6700,SpiceJet,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4174.0,5,1,9,0,11,25,145
6701,Air India,Kolkata,Banglore,CCU ? DEL ? BLR,07:00,16:15,9h 15m,1 stop,No info,10203.0,5,1,7,0,16,15,555
6702,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,20:20,13h 10m,1 stop,No info,8610.0,5,9,7,10,20,20,790
6703,Jet Airways,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5769.0,6,12,15,15,18,10,175
6704,IndiGo,Kolkata,Banglore,CCU ? BLR,11:30,14:05,2h 35m,non-stop,No info,5644.0,5,1,11,30,14,5,155
6705,Jet Airways,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5769.0,6,3,7,10,10,10,180
6706,Jet Airways,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,7229.0,5,15,6,0,8,45,165
6707,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,06:20,10:20,4h,1 stop,No info,4226.0,6,9,6,20,10,20,240
6708,IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,12:05,17:05,5h,1 stop,No info,4588.0,3,9,12,5,17,5,300
6709,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995.0,5,21,10,20,11,50,90
6710,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35,19h 5m,1 stop,In-flight meal not included,5406.0,4,1,17,30,12,35,1145
6711,SpiceJet,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,3873.0,6,24,17,10,19,40,150
6712,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,11:30,18:50,7h 20m,1 stop,No info,17024.0,3,6,11,30,18,50,440
6713,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158.0,6,9,8,45,13,15,270
6714,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040.0,5,1,10,20,11,50,90
6715,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,05:45,16:20,10h 35m,1 stop,In-flight meal not included,10844.0,5,18,5,45,16,20,635
6716,Air India,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,5,12,11,40,13,55,135
6717,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678.0,4,3,19,35,21,5,90
6718,Air India,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,12513.0,5,12,5,50,20,25,875
6719,Jet Airways,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,No info,8016.0,6,27,7,10,10,10,180
6720,SpiceJet,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543.0,6,1,17,45,20,5,140
6721,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25,10h 55m,1 stop,In-flight meal not included,5963.0,3,21,17,30,4,25,655
6722,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,16:20,7h 55m,1 stop,No info,14781.0,5,18,8,25,16,20,475
6723,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,09:00,12:35,27h 35m,1 stop,In-flight meal not included,12373.0,5,18,9,0,12,35,1655
6724,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210.0,6,1,19,35,21,5,90
6725,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,18:25,12h 40m,1 stop,In-flight meal not included,9134.0,3,15,5,45,18,25,760
6726,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,04:25,13h 50m,2 stops,In-flight meal not included,10919.0,6,6,14,35,4,25,830
6727,IndiGo,Mumbai,Hyderabad,BOM ? HYD,09:10,10:40,1h 30m,non-stop,No info,4575.0,5,1,9,10,10,40,90
6728,IndiGo,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,5601.0,6,15,5,35,8,50,195
6729,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,23:35,6h 35m,1 stop,No info,14151.0,5,18,17,0,23,35,395
6730,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55,19h 55m,2 stops,No info,10151.0,5,6,12,0,7,55,1195
6731,Vistara,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0,4,18,9,45,12,35,170
6732,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,02:00,07:45,5h 45m,1 stop,No info,6147.0,5,27,2,0,7,45,345
6733,IndiGo,Kolkata,Banglore,CCU ? BLR,14:25,16:55,2h 30m,non-stop,No info,4804.0,6,27,14,25,16,55,150
6734,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:55,19:15,10h 20m,1 stop,No info,8371.0,3,27,8,55,19,15,620
6735,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25,8h 55m,2 stops,No info,13014.0,6,9,19,30,4,25,535
6736,Air Asia,Banglore,Delhi,BLR ? DEL,04:55,07:45,2h 50m,non-stop,No info,3383.0,5,24,4,55,7,45,170
6737,SpiceJet,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,7298.0,3,6,17,45,20,5,140
6738,Jet Airways,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4544.0,4,3,7,10,10,10,180
6739,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:55,15:30,6h 35m,1 stop,No info,15147.0,3,6,8,55,15,30,395
6740,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,04:45,19:45,15h,1 stop,No info,10782.0,3,9,4,45,19,45,900
6741,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6027.0,5,15,15,10,20,0,290
6742,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,04:25,13h 50m,2 stops,In-flight meal not included,10919.0,6,6,14,35,4,25,830
6743,Air India,Delhi,Cochin,DEL ? BLR ? COK,06:10,08:15,26h 5m,1 stop,No info,6681.0,3,27,6,10,8,15,1565
6744,IndiGo,Banglore,Delhi,BLR ? DEL,23:30,02:20,2h 50m,non-stop,No info,3943.0,6,24,23,30,2,20,170
6745,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,21:50,12:35,14h 45m,1 stop,In-flight meal not included,12898.0,5,27,21,50,12,35,885
6746,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,18:35,01:30,6h 55m,1 stop,No info,6628.0,6,6,18,35,1,30,415
6747,Air India,Delhi,Cochin,DEL ? BLR ? COK,20:30,23:00,26h 30m,1 stop,No info,5022.0,4,3,20,30,23,0,1590
6748,Air India,Delhi,Cochin,DEL ? LKO ? BOM ? COK,07:10,07:40,24h 30m,2 stops,No info,12698.0,6,3,7,10,7,40,1470
6749,Air Asia,Delhi,Cochin,DEL ? BLR ? COK,20:45,07:10,10h 25m,1 stop,No info,10794.0,6,9,20,45,7,10,625
6750,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,9h 35m,1 stop,No info,6416.0,6,9,11,25,21,0,575
6751,SpiceJet,Kolkata,Banglore,CCU ? BLR,22:20,00:40,2h 20m,non-stop,No info,4622.0,3,9,22,20,0,40,140
6752,IndiGo,Banglore,Delhi,BLR ? DEL,13:00,15:50,2h 50m,non-stop,No info,3943.0,5,27,13,0,15,50,170
6753,Air Asia,Kolkata,Banglore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,4508.0,6,6,19,55,22,25,150
6754,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,8452.0,6,12,7,10,22,40,930
6755,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,16:45,08:55,16h 10m,2 stops,No info,13437.0,5,12,16,45,8,55,970
6756,Vistara,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982.0,5,18,17,45,20,5,140
6757,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00,17h 5m,1 stop,In-flight meal not included,10844.0,5,24,18,55,12,0,1025
6758,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25,18h 45m,2 stops,No info,15129.0,5,9,9,40,4,25,1125
6759,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,No info,14714.0,6,27,14,0,19,0,300
6760,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,06:40,21:00,14h 20m,1 stop,No info,6093.0,6,27,6,40,21,0,860
6761,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,04:55,13:20,8h 25m,1 stop,No info,5307.0,4,6,4,55,13,20,505
6762,GoAir,Delhi,Cochin,DEL ? BOM ? COK,14:25,19:35,5h 10m,1 stop,No info,10188.0,5,15,14,25,19,35,310
6763,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15,12h 15m,1 stop,No info,14571.0,6,6,20,0,8,15,735
6764,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,04:25,9h 15m,2 stops,No info,10976.0,3,27,19,10,4,25,555
6765,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,10844.0,5,24,6,30,16,20,590
6766,IndiGo,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4488.0,4,9,20,20,22,55,155
6767,Air India,Delhi,Cochin,DEL ? BOM ? COK,23:00,19:15,20h 15m,1 stop,No info,8582.0,5,24,23,0,19,15,1215
6768,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:45,12:35,16h 50m,1 stop,In-flight meal not included,10262.0,6,24,19,45,12,35,1010
6769,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45,17h 45m,1 stop,No info,8662.0,5,6,17,0,10,45,1065
6770,IndiGo,Banglore,New Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,4777.0,3,24,6,0,8,45,165
6771,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2071.0,3,27,15,50,17,20,90
6772,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,22:55,15:15,16h 20m,1 stop,In-flight meal not included,11087.0,3,12,22,55,15,15,980
6773,Air India,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,5228.0,4,18,21,5,23,55,170
6774,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,16:20,9h 50m,1 stop,No info,12996.0,4,1,6,30,16,20,590
6775,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,23:00,15h,1 stop,No info,16736.0,3,6,8,0,23,0,900
6776,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05,15h 10m,1 stop,No info,13941.0,5,1,18,55,10,5,910
6777,Air India,Banglore,New Delhi,BLR ? GAU ? DEL,13:50,22:10,8h 20m,1 stop,No info,9166.0,3,15,13,50,22,10,500
6778,Air India,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50,25h 35m,1 stop,No info,12677.0,3,3,5,15,6,50,1535
6779,Air India,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4405.0,3,24,11,40,13,55,135
6780,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,23:35,14h,1 stop,No info,12121.0,5,6,9,35,23,35,840
6781,Air India,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,6121.0,6,6,21,5,23,55,170
6782,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,09:20,24h 55m,1 stop,No info,14388.0,5,18,8,25,9,20,1495
6783,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,10:55,14h 30m,1 stop,No info,11467.0,4,1,20,25,10,55,870
6784,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,10:25,13h,1 stop,No info,13817.0,3,12,21,25,10,25,780
6785,Air India,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,3100.0,5,6,19,30,20,45,75
6786,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,8266.0,5,21,11,40,19,15,455
6787,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,23:25,27h 40m,1 stop,No info,13759.0,3,24,19,45,23,25,1660
6788,IndiGo,Banglore,Delhi,BLR ? DEL,00:25,03:15,2h 50m,non-stop,No info,3943.0,6,9,0,25,3,15,170
6789,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,18:15,01:35,7h 20m,1 stop,No info,12327.0,3,27,18,15,1,35,440
6790,IndiGo,Mumbai,Hyderabad,BOM ? HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,6,12,6,25,7,55,90
6791,SpiceJet,Banglore,Delhi,BLR ? DEL,21:10,00:05,2h 55m,non-stop,No check-in baggage included,3573.0,6,1,21,10,0,5,175
6792,Air Asia,Kolkata,Banglore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,4409.0,5,15,19,55,22,25,150
6793,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,09:25,26h 20m,2 stops,No info,6565.0,3,27,7,5,9,25,1580
6794,IndiGo,Kolkata,Banglore,CCU ? BLR,21:25,00:05,2h 40m,non-stop,No info,4174.0,4,15,21,25,0,5,160
6795,Jet Airways,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4030.0,5,24,7,10,10,10,180
6796,Air Asia,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,4082.0,3,21,10,20,12,55,155
6797,Air India,Kolkata,Banglore,CCU ? BBI ? HYD ? BLR,09:10,11:05,25h 55m,2 stops,No info,6117.0,5,24,9,10,11,5,1555
6798,Jet Airways,Banglore,New Delhi,BLR ? BDQ ? DEL,05:50,12:20,6h 30m,1 stop,In-flight meal not included,6163.0,3,21,5,50,12,20,390
6799,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,16:00,04:25,12h 25m,1 stop,In-flight meal not included,6540.0,3,27,16,0,4,25,745
6800,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0,5,12,15,5,20,20,315
6801,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00,21h 10m,1 stop,In-flight meal not included,10262.0,6,9,21,50,19,0,1270
6802,Vistara,Banglore,Delhi,BLR ? DEL,19:30,22:15,2h 45m,non-stop,No info,5613.0,4,6,19,30,22,15,165
6803,IndiGo,Banglore,New Delhi,BLR ? DEL,08:30,11:30,3h,non-stop,No info,6144.0,3,24,8,30,11,30,180
6804,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22:05,29h 5m,1 stop,No info,13067.0,5,12,17,0,22,5,1745
6805,Vistara,Banglore,New Delhi,BLR ? DEL,21:10,00:05,2h 55m,non-stop,No info,7608.0,3,3,21,10,0,5,175
6806,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30,15h 30m,1 stop,No info,7198.0,6,9,10,0,1,30,930
6807,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,23:35,7h 5m,1 stop,No info,13941.0,5,15,16,30,23,35,425
6808,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25,18h 45m,2 stops,In-flight meal not included,10368.0,6,9,9,40,4,25,1125
6809,SpiceJet,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543.0,6,27,8,20,10,35,135
6810,IndiGo,Kolkata,Banglore,CCU ? BLR,20:25,23:05,2h 40m,non-stop,No info,4462.0,3,27,20,25,23,5,160
6811,Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:40,7h 50m,2 stops,No info,8005.0,3,24,5,50,13,40,470
6812,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,22:35,27h 40m,1 stop,In-flight meal not included,7064.0,4,1,18,55,22,35,1660
6813,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,21:05,24h 40m,1 stop,No info,12121.0,5,1,20,25,21,5,1480
6814,Air India,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,19:15,7h 15m,2 stops,No info,8918.0,5,9,12,0,19,15,435
6815,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,8891.0,5,12,9,25,21,50,745
6816,Air India,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,16:15,6h 15m,1 stop,No info,10203.0,5,1,10,0,16,15,375
6817,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,8073.0,5,15,13,0,21,0,480
6818,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:20,6h 10m,1 stop,No info,11237.0,3,3,16,10,22,20,370
6819,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,04:25,21h 40m,2 stops,No info,13376.0,6,12,6,45,4,25,1300
6820,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,07:10,22:30,15h 20m,1 stop,No info,6513.0,6,9,7,10,22,30,920
6821,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40,9h 45m,1 stop,No info,13731.0,5,24,18,55,4,40,585
6822,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,19:50,23h 50m,1 stop,In-flight meal not included,7064.0,4,1,20,0,19,50,1430
6823,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,19:10,13h 25m,1 stop,No info,16736.0,3,6,5,45,19,10,805
6824,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05,14h 5m,1 stop,In-flight meal not included,8586.0,5,15,20,0,10,5,845
6825,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:00,13h,1 stop,No info,11789.0,6,15,6,0,19,0,780
6826,IndiGo,Kolkata,Banglore,CCU ? BLR,11:30,14:05,2h 35m,non-stop,No info,5224.0,5,24,11,30,14,5,155
6827,IndiGo,Delhi,Cochin,DEL ? COK,21:05,00:20,3h 15m,non-stop,No info,6834.0,5,15,21,5,0,20,195
6828,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:30,9h 30m,1 stop,No info,6316.0,6,15,16,0,1,30,570
6829,Jet Airways,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,10:45,18:50,32h 5m,2 stops,No info,11869.0,3,21,10,45,18,50,1925
6830,Air Asia,Kolkata,Banglore,CCU ? BLR,22:50,01:20,2h 30m,non-stop,No info,4384.0,3,6,22,50,1,20,150
6831,IndiGo,Kolkata,Banglore,CCU ? BLR,14:25,16:55,2h 30m,non-stop,No info,5644.0,4,21,14,25,16,55,150
6832,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,19:15,23h,2 stops,No info,19681.0,3,9,20,15,19,15,1380
6833,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30,15h 30m,1 stop,No info,13377.0,6,6,10,0,1,30,930
6834,Multiple carriers,Delhi,Cochin,DEL ? HYD ? MAA ? COK,09:45,21:20,11h 35m,2 stops,No info,10090.0,3,9,9,45,21,20,695
6835,Jet Airways,Mumbai,Hyderabad,BOM ? IDR ? DEL ? HYD,17:50,16:50,23h,2 stops,No info,20845.0,3,6,17,50,16,50,1380
6836,Vistara,Banglore,Delhi,BLR ? DEL,17:00,19:35,2h 35m,non-stop,No info,4878.0,6,24,17,0,19,35,155
6837,IndiGo,Mumbai,Hyderabad,BOM ? HYD,21:20,22:50,1h 30m,non-stop,No info,2227.0,6,1,21,20,22,50,90
6838,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,6442.0,5,18,7,35,16,10,515
6839,SpiceJet,Banglore,Delhi,BLR ? DEL,21:10,00:05,2h 55m,non-stop,No check-in baggage included,3257.0,5,27,21,10,0,5,175
6840,Jet Airways,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,7229.0,6,15,6,0,8,45,165
6841,Air India,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,20:30,13:45,17h 15m,2 stops,No info,15164.0,5,1,20,30,13,45,1035
6842,IndiGo,Banglore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,10067.0,3,24,10,10,13,0,170
6843,Air India,Delhi,Cochin,DEL ? COK,14:10,17:10,3h,non-stop,No info,5674.0,3,15,14,10,17,10,180
6844,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,10:25,20h 20m,1 stop,No info,20800.0,3,1,14,5,10,25,1220
6845,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,06:50,22:30,15h 40m,1 stop,No info,7144.0,5,18,6,50,22,30,940
6846,Air India,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6094.0,5,27,5,10,8,0,170
6847,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4050.0,5,18,10,20,11,50,90
6848,SpiceJet,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3859.0,6,24,9,45,12,0,135
6849,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,10:20,18:50,32h 30m,2 stops,No info,11664.0,3,21,10,20,18,50,1950
6850,Multiple carriers,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:10,21:20,14h 10m,2 stops,In-flight meal not included,7731.0,3,6,7,10,21,20,850
6851,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,No info,12692.0,6,12,9,35,19,10,575
6852,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,09:25,20h 10m,2 stops,No info,11307.0,5,18,13,15,9,25,1210
6853,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40,7h 30m,1 stop,In-flight meal not included,8586.0,6,9,21,10,4,40,450
6854,IndiGo,Banglore,New Delhi,BLR ? STV ? DEL,11:20,15:25,4h 5m,1 stop,No info,5746.0,3,21,11,20,15,25,245
6855,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:15,11h 15m,1 stop,No info,13378.0,3,21,8,0,19,15,675
6856,Air India,Banglore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,7486.0,3,24,17,0,19,45,165
6857,SpiceJet,Chennai,Kolkata,MAA ? CCU,09:30,12:05,2h 35m,non-stop,No info,7298.0,3,6,9,30,12,5,155
6858,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:40,21:00,9h 20m,1 stop,No info,7005.0,6,12,11,40,21,0,560
6859,IndiGo,Kolkata,Banglore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804.0,5,12,17,15,19,50,155
6860,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,04:45,12:55,8h 10m,1 stop,No info,16162.0,3,9,4,45,12,55,490
6861,IndiGo,Banglore,Delhi,BLR ? DEL,00:30,03:25,2h 55m,non-stop,No info,3419.0,4,24,0,30,3,25,175
6862,Air Asia,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,15:10,23:30,8h 20m,2 stops,No info,5192.0,5,1,15,10,23,30,500
6863,Air Asia,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,4409.0,4,15,10,20,12,55,155
6864,Jet Airways,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,7229.0,4,18,8,20,11,20,180
6865,IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,16:55,21:50,4h 55m,1 stop,No info,5397.0,3,15,16,55,21,50,295
6866,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,In-flight meal not included,6542.0,4,15,14,0,19,0,300
6867,GoAir,Delhi,Cochin,DEL ? BOM ? COK,10:25,19:20,8h 55m,1 stop,No info,5281.0,3,27,10,25,19,20,535
6868,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,12:50,19:15,6h 25m,1 stop,No info,8266.0,6,6,12,50,19,15,385
6869,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262.0,6,12,14,0,19,0,300
6870,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,20:25,24h 5m,1 stop,No info,11105.0,3,24,20,20,20,25,1445
6871,Jet Airways,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544.0,4,3,8,20,11,20,180
6872,Air India,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,4960.0,3,6,14,15,16,45,150
6873,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,05:05,20h 10m,1 stop,No info,16736.0,3,6,8,55,5,5,1210
6874,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,10:00,01:30,15h 30m,1 stop,No info,13377.0,6,1,10,0,1,30,930
6875,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No info,2227.0,5,18,13,15,14,45,90
