,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6
6003,Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,9,9,40,12,35,1615,8.058204334365325,DEL,JAI,BOM,COK,None,None
6004,IndiGo,Delhi,Cochin,1 stop,No info,6442,3,27,6,40,16,10,570,11.301754385964912,DEL,HYD,COK,None,None,None
6005,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,9,13,0,12,35,1415,8.74416961130742,DEL,BOM,COK,None,None,None
6006,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539,6,6,9,35,14,25,1730,6.091907514450867,CCU,DEL,BLR,None,None,None
6007,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,21,20,0,9,20,800,13.555,CCU,BOM,BLR,None,None,None
6008,Vistara,Kolkata,Banglore,1 stop,No info,8452,6,6,17,0,9,5,965,8.758549222797928,CCU,DEL,BLR,None,None,None
6009,IndiGo,Delhi,Cochin,1 stop,No info,7144,5,18,8,35,22,30,835,8.555688622754491,DEL,HYD,COK,None,None,None
6010,SpiceJet,Banglore,New Delhi,non-stop,No info,5126,3,9,20,30,23,20,170,30.152941176470588,BLR,DEL,None,None,None,None
6011,Multiple carriers,Delhi,Cochin,1 stop,No info,6795,6,12,19,0,1,30,390,17.423076923076923,DEL,BOM,COK,None,None,None
6012,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,5,12,21,10,10,5,775,11.078709677419354,CCU,BOM,BLR,None,None,None
6013,SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,4439,5,18,9,0,11,25,145,30.613793103448277,CCU,BLR,None,None,None,None
6014,SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,6205,3,15,9,35,12,30,175,35.457142857142856,BLR,DEL,None,None,None,None
6015,IndiGo,Banglore,Delhi,non-stop,No info,4284,5,6,0,30,3,25,175,24.48,BLR,DEL,None,None,None,None
6016,Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,6,16,30,23,35,425,34.28470588235294,CCU,BOM,BLR,None,None,None
6017,Air Asia,Kolkata,Banglore,non-stop,No info,3807,4,6,19,55,22,25,150,25.38,CCU,BLR,None,None,None,None
6018,SpiceJet,Kolkata,Banglore,non-stop,No info,3850,3,6,6,55,9,35,160,24.0625,CCU,BLR,None,None,None,None
6019,SpiceJet,Kolkata,Banglore,1 stop,No info,8479,5,18,11,35,18,50,435,19.491954022988505,CCU,KNU,BLR,None,None,None
6020,Multiple carriers,Delhi,Cochin,1 stop,No info,8073,5,18,9,0,21,0,720,11.2125,DEL,BOM,COK,None,None,None
6021,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,1,13,0,15,50,170,23.194117647058825,BLR,DEL,None,None,None,None
6022,IndiGo,Chennai,Kolkata,non-stop,No info,4332,5,9,11,35,14,0,145,29.875862068965517,MAA,CCU,None,None,None,None
6023,SpiceJet,Kolkata,Banglore,non-stop,No info,4174,4,27,17,10,19,40,150,27.826666666666668,CCU,BLR,None,None,None,None
6024,Air India,Banglore,New Delhi,1 stop,1 Long layover,14594,3,1,11,50,8,55,1265,11.536758893280632,BLR,MAA,DEL,None,None,None
6025,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11507,6,3,5,30,19,0,810,14.206172839506173,DEL,IDR,BOM,COK,None,None
6026,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,6093,6,15,7,10,22,30,920,6.622826086956522,DEL,HYD,COK,None,None,None
6027,IndiGo,Banglore,New Delhi,non-stop,No info,8033,3,24,18,25,21,20,175,45.902857142857144,BLR,DEL,None,None,None,None
6028,IndiGo,Banglore,Delhi,non-stop,No info,4823,6,27,16,55,19,55,180,26.794444444444444,BLR,DEL,None,None,None,None
6029,Jet Airways,Delhi,Cochin,2 stops,No info,13292,6,3,21,25,12,35,910,14.606593406593406,DEL,IDR,BOM,COK,None,None
6030,Multiple carriers,Delhi,Cochin,1 stop,No info,9526,6,15,11,40,19,15,455,20.936263736263736,DEL,BOM,COK,None,None,None
6031,SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3815,3,21,22,20,0,40,140,27.25,CCU,BLR,None,None,None,None
6032,IndiGo,Chennai,Kolkata,non-stop,No info,3597,6,27,13,15,15,35,140,25.692857142857143,MAA,CCU,None,None,None,None
6033,Jet Airways,Delhi,Cochin,2 stops,No info,13376,6,15,14,35,4,25,830,16.11566265060241,DEL,NAG,BOM,COK,None,None
6034,SpiceJet,Mumbai,Hyderabad,non-stop,No info,2017,5,9,5,45,7,15,90,22.41111111111111,BOM,HYD,None,None,None,None
6035,Air India,Kolkata,Banglore,2 stops,No info,11853,3,24,9,25,1,20,955,12.41151832460733,CCU,BOM,COK,BLR,None,None
6036,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,12,13,0,19,0,360,28.505555555555556,DEL,BOM,COK,None,None,None
6037,SpiceJet,Chennai,Kolkata,non-stop,No info,3859,3,24,9,30,12,5,155,24.89677419354839,MAA,CCU,None,None,None,None
6038,Air India,Kolkata,Banglore,2 stops,No info,12744,6,9,7,0,5,25,1345,9.475092936802975,CCU,DEL,AMD,BLR,None,None
6039,Multiple carriers,Delhi,Cochin,2 stops,No info,18485,6,1,17,50,1,30,460,40.18478260869565,DEL,IXU,BOM,COK,None,None
6040,Air India,Kolkata,Banglore,2 stops,No info,13227,5,6,9,50,8,55,1385,9.550180505415163,CCU,GAU,DEL,BLR,None,None
6041,IndiGo,Chennai,Kolkata,non-stop,No info,3597,6,21,19,35,21,55,140,25.692857142857143,MAA,CCU,None,None,None,None
6042,IndiGo,Kolkata,Banglore,non-stop,No info,4804,5,12,15,15,17,45,150,32.026666666666664,CCU,BLR,None,None,None,None
6043,IndiGo,Banglore,Delhi,non-stop,No info,4423,6,15,6,5,8,50,165,26.806060606060605,BLR,DEL,None,None,None,None
6044,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,9,15,0,12,35,1295,7.924324324324324,DEL,BOM,COK,None,None,None
6045,SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,5,6,9,45,12,0,135,26.244444444444444,MAA,CCU,None,None,None,None
6046,IndiGo,Kolkata,Banglore,non-stop,No info,4174,4,12,21,25,0,5,160,26.0875,CCU,BLR,None,None,None,None
6047,SpiceJet,Delhi,Cochin,1 stop,No info,7084,3,9,16,35,22,50,375,18.890666666666668,DEL,BLR,COK,None,None,None
6048,Air India,Kolkata,Banglore,2 stops,No info,14960,5,15,9,50,8,55,1385,10.8014440433213,CCU,GAU,DEL,BLR,None,None
6049,Jet Airways,Kolkata,Banglore,1 stop,No info,13339,3,24,6,30,16,20,590,22.608474576271185,CCU,BOM,BLR,None,None,None
6050,Jet Airways,Banglore,Delhi,non-stop,No info,7229,4,12,8,20,11,20,180,40.16111111111111,BLR,DEL,None,None,None,None
6051,IndiGo,Delhi,Cochin,1 stop,No info,6818,5,18,5,5,16,10,665,10.25263157894737,DEL,HYD,COK,None,None,None
6052,Jet Airways,Delhi,Cochin,2 stops,No info,13376,6,6,6,45,4,25,1300,10.28923076923077,DEL,NAG,BOM,COK,None,None
6053,IndiGo,Delhi,Cochin,1 stop,No info,6316,6,9,15,0,1,30,630,10.025396825396825,DEL,BOM,COK,None,None,None
6054,Air India,Delhi,Cochin,non-stop,No info,5201,6,18,18,5,21,10,185,28.113513513513514,DEL,COK,None,None,None,None
6055,IndiGo,Delhi,Cochin,1 stop,No info,10958,5,18,23,30,4,35,305,35.927868852459014,DEL,PNQ,COK,None,None,None
6056,IndiGo,Chennai,Kolkata,non-stop,No info,3858,6,21,11,35,14,0,145,26.606896551724137,MAA,CCU,None,None,None,None
6057,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,9,13,0,19,0,360,28.505555555555556,DEL,BOM,COK,None,None,None
6058,Air India,Kolkata,Banglore,1 stop,No info,8996,5,24,9,10,13,15,245,36.71836734693878,CCU,BBI,BLR,None,None,None
6059,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8098,3,27,5,10,19,45,2315,3.4980561555075593,DEL,MAA,BOM,COK,None,None
6060,SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,5,1,8,20,10,35,135,26.244444444444444,MAA,CCU,None,None,None,None
6061,Multiple carriers,Delhi,Cochin,1 stop,No info,10529,5,24,7,30,19,0,690,15.259420289855072,DEL,BOM,COK,None,None,None
6062,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,7438,3,21,2,15,18,50,995,7.4753768844221105,DEL,BOM,COK,None,None,None
6063,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,9,14,0,4,25,865,14.304046242774566,DEL,BOM,COK,None,None,None
6064,IndiGo,Banglore,Delhi,non-stop,No info,4823,5,27,7,10,10,5,175,27.56,BLR,DEL,None,None,None,None
6065,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5769,6,21,8,20,11,20,180,32.05,BLR,DEL,None,None,None,None
6066,Multiple carriers,Delhi,Cochin,1 stop,No info,9042,3,21,7,0,13,20,380,23.794736842105262,DEL,BOM,COK,None,None,None
6067,Air India,Delhi,Cochin,1 stop,No info,4697,4,6,17,20,9,25,965,4.867357512953368,DEL,MAA,COK,None,None,None
6068,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,9,14,5,19,50,345,31.431884057971015,CCU,BOM,BLR,None,None,None
6069,Air Asia,Banglore,Delhi,non-stop,No info,8420,6,9,4,55,7,45,170,49.529411764705884,BLR,DEL,None,None,None,None
6070,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,7563,3,6,7,10,16,10,540,14.005555555555556,DEL,HYD,COK,None,None,None
6071,Air India,Delhi,Cochin,1 stop,No info,7480,5,15,20,40,9,25,765,9.777777777777779,DEL,MAA,COK,None,None,None
6072,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030,5,6,11,10,14,5,175,23.02857142857143,BLR,DEL,None,None,None,None
6073,Multiple carriers,Delhi,Cochin,1 stop,No info,6513,6,12,7,10,22,30,920,7.0793478260869565,DEL,HYD,COK,None,None,None
6074,Jet Airways,Kolkata,Banglore,1 stop,No info,8355,6,9,10,20,17,35,435,19.20689655172414,CCU,GAU,BLR,None,None,None
6075,Multiple carriers,Delhi,Cochin,2 stops,No info,16655,5,21,15,5,1,30,625,26.648,DEL,IDR,BOM,COK,None,None
6076,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,18,5,45,18,15,750,14.458666666666666,CCU,BOM,BLR,None,None,None
6077,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,21,17,10,19,40,150,25.82,CCU,BLR,None,None,None,None
6078,IndiGo,Kolkata,Banglore,non-stop,No info,5224,6,9,15,15,17,45,150,34.82666666666667,CCU,BLR,None,None,None,None
6079,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,15,16,30,12,0,1170,9.26837606837607,CCU,BOM,BLR,None,None,None
6080,IndiGo,Kolkata,Banglore,non-stop,No info,4778,3,3,5,30,8,20,170,28.105882352941176,CCU,BLR,None,None,None,None
6081,Jet Airways,Delhi,Cochin,1 stop,No info,16289,3,9,20,50,18,50,1320,12.340151515151515,DEL,BOM,COK,None,None,None
6082,Air India,Delhi,Cochin,non-stop,No info,5674,3,18,5,10,8,0,170,33.37647058823529,DEL,COK,None,None,None,None
6083,Air India,Mumbai,Hyderabad,2 stops,No info,12854,3,12,6,0,11,55,1795,7.16100278551532,BOM,BHO,DEL,HYD,None,None
6084,Air India,Banglore,New Delhi,1 stop,No info,8425,3,9,22,0,11,5,785,10.73248407643312,BLR,COK,DEL,None,None,None
6085,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,9328,3,21,5,30,18,50,2240,4.164285714285715,DEL,JAI,BOM,COK,None,None
6086,Multiple carriers,Delhi,Cochin,1 stop,No info,17057,3,3,2,15,15,30,795,21.455345911949685,DEL,BOM,COK,None,None,None
6087,Jet Airways,Banglore,Delhi,non-stop,No info,7229,5,3,19,50,22,50,180,40.16111111111111,BLR,DEL,None,None,None,None
6088,IndiGo,Delhi,Cochin,1 stop,No info,14871,3,3,11,30,21,0,570,26.089473684210525,DEL,BOM,COK,None,None,None
6089,Jet Airways,Delhi,Cochin,2 stops,No info,14300,6,27,12,15,19,0,1845,7.750677506775068,DEL,ATQ,BOM,COK,None,None
6090,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529,6,12,21,10,9,20,730,11.683561643835617,CCU,BOM,BLR,None,None,None
6091,Multiple carriers,Delhi,Cochin,1 stop,No info,10877,6,9,4,55,19,0,845,12.872189349112427,DEL,BOM,COK,None,None,None
6092,IndiGo,Kolkata,Banglore,1 stop,No info,5386,5,21,17,35,22,15,280,19.235714285714284,CCU,MAA,BLR,None,None,None
6093,Multiple carriers,Delhi,Cochin,1 stop,No info,11622,3,27,10,45,18,50,485,23.962886597938144,DEL,BOM,COK,None,None,None
6094,Multiple carriers,Delhi,Cochin,1 stop,No info,10197,5,27,3,50,19,0,910,11.205494505494505,DEL,BOM,COK,None,None,None
6095,Air Asia,Delhi,Cochin,1 stop,No info,8028,5,21,16,45,22,30,345,23.269565217391303,DEL,BLR,COK,None,None,None
6096,IndiGo,Mumbai,Hyderabad,non-stop,No info,2754,6,1,12,0,13,30,90,30.6,BOM,HYD,None,None,None,None
6097,Air India,Banglore,New Delhi,1 stop,No info,6781,3,3,8,15,21,25,790,8.583544303797469,BLR,HYD,DEL,None,None,None
6098,SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,5,21,17,10,19,40,150,25.606666666666666,CCU,BLR,None,None,None,None
6099,Multiple carriers,Delhi,Cochin,1 stop,No info,8266,6,6,10,20,19,15,535,15.450467289719626,DEL,BOM,COK,None,None,None
6100,IndiGo,Banglore,New Delhi,non-stop,No info,6144,3,24,7,10,10,5,175,35.10857142857143,BLR,DEL,None,None,None,None
6101,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544,4,24,11,10,14,5,175,25.965714285714284,BLR,DEL,None,None,None,None
6102,Jet Airways,Delhi,Cochin,2 stops,No info,14441,6,3,5,30,12,35,425,33.97882352941176,DEL,BHO,BOM,COK,None,None
6103,Air India,Mumbai,Hyderabad,non-stop,No info,3100,6,12,21,5,22,25,80,38.75,BOM,HYD,None,None,None,None
6104,Jet Airways,Kolkata,Banglore,1 stop,No info,13067,5,18,20,25,14,25,1080,12.099074074074075,CCU,DEL,BLR,None,None,None
6105,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8529,6,12,18,55,23,35,1720,4.958720930232558,CCU,BOM,BLR,None,None,None
6106,IndiGo,Delhi,Cochin,1 stop,No info,6442,5,15,8,35,16,10,455,14.158241758241758,DEL,HYD,COK,None,None,None
6107,Multiple carriers,Delhi,Cochin,1 stop,No info,6480,6,27,10,20,21,0,640,10.125,DEL,BOM,COK,None,None,None
6108,Air India,Banglore,New Delhi,1 stop,No info,11003,3,3,10,30,11,20,1490,7.384563758389262,BLR,VGA,DEL,None,None,None
6109,Vistara,Banglore,Delhi,non-stop,No info,4668,6,12,21,0,23,50,170,27.458823529411763,BLR,DEL,None,None,None,None
6110,Jet Airways,Kolkata,Banglore,1 stop,No info,13941,5,9,6,30,4,40,1330,10.481954887218045,CCU,BOM,BLR,None,None,None
6111,Vistara,Kolkata,Banglore,1 stop,No info,8820,5,12,7,10,18,50,700,12.6,CCU,DEL,BLR,None,None,None
6112,Air India,Delhi,Cochin,1 stop,No info,9064,3,9,17,45,23,0,315,28.774603174603175,DEL,BLR,COK,None,None,None
6113,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,6,6,8,25,19,50,685,15.83065693430657,CCU,BOM,BLR,None,None,None
6114,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,18,5,30,19,0,810,18.677777777777777,DEL,JAI,BOM,COK,None,None
6115,Multiple carriers,Delhi,Cochin,1 stop,No info,6513,5,9,7,10,16,10,540,12.061111111111112,DEL,HYD,COK,None,None,None
6116,Jet Airways,Kolkata,Banglore,1 stop,No info,14676,6,9,17,0,23,35,395,37.154430379746834,CCU,DEL,BLR,None,None,None
6117,IndiGo,Banglore,Delhi,non-stop,No info,4823,5,18,7,10,10,5,175,27.56,BLR,DEL,None,None,None,None
6118,IndiGo,Kolkata,Banglore,non-stop,No info,4174,4,12,15,15,17,45,150,27.826666666666668,CCU,BLR,None,None,None,None
6119,Jet Airways,Delhi,Cochin,2 stops,No info,19172,3,9,15,55,4,25,750,25.562666666666665,DEL,DED,BOM,COK,None,None
6120,SpiceJet,Banglore,Delhi,non-stop,No info,4423,4,12,5,55,8,35,160,27.64375,BLR,DEL,None,None,None,None
6121,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,12,6,55,9,30,155,24.98709677419355,CCU,BLR,None,None,None,None
6122,IndiGo,Delhi,Cochin,1 stop,No info,7189,6,3,21,50,3,35,345,20.83768115942029,DEL,LKO,COK,None,None,None
6123,Jet Airways,Kolkata,Banglore,1 stop,No info,13731,6,6,6,30,4,40,1330,10.32406015037594,CCU,BOM,BLR,None,None,None
6124,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,5,12,9,35,10,55,1520,9.30986842105263,CCU,DEL,BLR,None,None,None
6125,Air India,Chennai,Kolkata,non-stop,No info,4667,5,21,11,40,13,55,135,34.57037037037037,MAA,CCU,None,None,None,None
6126,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8834,3,21,19,10,4,25,1995,4.428070175438597,DEL,AMD,BOM,COK,None,None
6127,Jet Airways,Kolkata,Banglore,1 stop,No info,11467,5,1,20,25,19,10,1365,8.400732600732601,CCU,DEL,BLR,None,None,None
6128,Vistara,Mumbai,Hyderabad,1 stop,No info,12395,3,6,8,45,16,45,480,25.822916666666668,BOM,DEL,HYD,None,None,None
6129,Multiple carriers,Delhi,Cochin,1 stop,No info,7858,5,21,17,15,0,55,460,17.082608695652173,DEL,HYD,COK,None,None,None
6130,IndiGo,Kolkata,Banglore,non-stop,No info,4804,5,24,20,20,22,55,155,30.993548387096773,CCU,BLR,None,None,None,None
6131,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,13469,6,9,20,25,9,45,800,16.83625,CCU,DEL,BLR,None,None,None
6132,IndiGo,Delhi,Cochin,non-stop,No info,7673,3,6,14,30,17,35,185,41.475675675675674,DEL,COK,None,None,None,None
6133,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,6,9,17,0,18,0,1500,9.434,CCU,DEL,BLR,None,None,None
6134,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,24,15,0,12,35,1295,7.924324324324324,DEL,BOM,COK,None,None,None
6135,Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,24,9,40,12,35,1615,8.058204334365325,DEL,JAI,BOM,COK,None,None
6136,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,9,13,0,19,0,360,34.36944444444445,DEL,BOM,COK,None,None,None
6137,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,11399,5,18,10,0,19,0,540,21.10925925925926,DEL,BOM,COK,None,None,None
6138,SpiceJet,Banglore,Delhi,non-stop,No info,3971,5,6,9,30,12,20,170,23.358823529411765,BLR,DEL,None,None,None,None
6139,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,6007,6,27,6,0,21,0,900,6.674444444444444,DEL,BOM,COK,None,None,None
6140,Air India,Banglore,New Delhi,1 stop,No info,6383,3,15,10,30,22,55,745,8.567785234899329,BLR,VGA,DEL,None,None,None
6141,IndiGo,Banglore,Delhi,non-stop,No info,5740,5,12,8,30,11,20,170,33.76470588235294,BLR,DEL,None,None,None,None
6142,SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,1965,6,15,13,15,14,45,90,21.833333333333332,BOM,HYD,None,None,None,None
6143,Multiple carriers,Delhi,Cochin,2 stops,In-flight meal not included,5935,3,21,7,10,21,20,850,6.982352941176471,DEL,HYD,MAA,COK,None,None
6144,IndiGo,Kolkata,Banglore,non-stop,No info,4174,4,6,9,35,12,20,165,25.296969696969697,CCU,BLR,None,None,None,None
6145,IndiGo,Delhi,Cochin,1 stop,No info,7738,3,21,4,45,13,20,515,15.025242718446602,DEL,BOM,COK,None,None,None
6146,Air India,Delhi,Cochin,2 stops,No info,10441,5,24,22,0,19,15,1275,8.189019607843138,DEL,GOI,BOM,COK,None,None
6147,Air India,Mumbai,Hyderabad,non-stop,No info,3100,3,15,21,5,22,25,80,38.75,BOM,HYD,None,None,None,None
6148,Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,6,17,30,19,0,1530,9.616993464052287,DEL,BOM,COK,None,None,None
6149,Vistara,Kolkata,Banglore,1 stop,No info,9135,6,9,17,0,18,50,1550,5.893548387096774,CCU,DEL,BLR,None,None,None
6150,Air India,Kolkata,Banglore,1 stop,No info,7893,4,1,16,50,18,30,1540,5.125324675324675,CCU,BOM,BLR,None,None,None
6151,Jet Airways,Kolkata,Banglore,1 stop,No info,12121,5,6,17,0,23,35,395,30.686075949367087,CCU,DEL,BLR,None,None,None
6152,Air India,Delhi,Cochin,non-stop,No info,6094,6,9,14,10,17,10,180,33.855555555555554,DEL,COK,None,None,None,None
6153,IndiGo,Banglore,Delhi,non-stop,No info,4423,6,9,10,10,13,0,170,26.01764705882353,BLR,DEL,None,None,None,None
6154,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,3,21,20,35,7,40,665,11.777443609022557,BLR,BOM,DEL,None,None,None
6155,Vistara,Banglore,Delhi,non-stop,No info,5403,4,3,11,30,14,20,170,31.78235294117647,BLR,DEL,None,None,None,None
6156,SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,4,1,9,0,11,25,145,26.489655172413794,CCU,BLR,None,None,None,None
6157,Jet Airways,Delhi,Cochin,2 stops,No info,11093,3,21,10,45,4,25,1060,10.465094339622642,DEL,BDQ,BOM,COK,None,None
6158,Jet Airways,Banglore,Delhi,non-stop,No info,7229,4,24,19,50,22,50,180,40.16111111111111,BLR,DEL,None,None,None,None
6159,IndiGo,Banglore,Delhi,non-stop,No info,4823,5,27,16,55,19,55,180,26.794444444444444,BLR,DEL,None,None,None,None
6160,Jet Airways,Kolkata,Banglore,1 stop,No info,11467,5,1,9,35,19,10,575,19.942608695652172,CCU,DEL,BLR,None,None,None
6161,IndiGo,Kolkata,Banglore,1 stop,No info,6111,5,1,7,10,12,40,330,18.51818181818182,CCU,BBI,BLR,None,None,None
6162,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8066,5,9,17,0,10,55,1075,7.503255813953488,CCU,DEL,BLR,None,None,None
6163,IndiGo,Delhi,Cochin,1 stop,No info,7258,3,27,4,45,21,0,975,7.444102564102564,DEL,BOM,COK,None,None,None
6164,Air India,Delhi,Cochin,non-stop,No info,4729,3,27,5,10,8,0,170,27.81764705882353,DEL,COK,None,None,None,None
6165,Multiple carriers,Delhi,Cochin,1 stop,No info,15135,3,6,9,10,18,50,580,26.094827586206897,DEL,BOM,COK,None,None,None
6166,Air India,Kolkata,Banglore,2 stops,No info,12718,5,24,9,25,1,20,955,13.317277486910994,CCU,BOM,COK,BLR,None,None
6167,Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,6,18,2,55,4,20,85,66.8,BOM,HYD,None,None,None,None
6168,IndiGo,Delhi,Cochin,1 stop,No info,5298,6,24,6,50,12,10,320,16.55625,DEL,HYD,COK,None,None,None
6169,Jet Airways,Banglore,New Delhi,1 stop,No info,14815,3,6,11,40,0,45,785,18.872611464968152,BLR,BOM,DEL,None,None,None
6170,Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,24,5,30,4,25,1375,9.464727272727274,DEL,JAI,BOM,COK,None,None
6171,SpiceJet,Kolkata,Banglore,non-stop,No info,4491,5,18,9,0,11,25,145,30.97241379310345,CCU,BLR,None,None,None,None
6172,Multiple carriers,Delhi,Cochin,1 stop,No info,11421,3,27,10,20,18,50,510,22.394117647058824,DEL,BOM,COK,None,None,None
6173,Jet Airways,Banglore,New Delhi,1 stop,No info,12284,3,18,8,0,7,40,1420,8.650704225352113,BLR,BOM,DEL,None,None,None
6174,Jet Airways,Banglore,Delhi,non-stop,No info,7229,5,12,6,0,8,45,165,43.81212121212121,BLR,DEL,None,None,None,None
6175,IndiGo,Banglore,Delhi,non-stop,No info,4823,4,15,7,10,10,5,175,27.56,BLR,DEL,None,None,None,None
6176,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,6,27,20,55,4,25,450,28.662222222222223,DEL,BOM,COK,None,None,None
6177,Multiple carriers,Delhi,Cochin,1 stop,No info,13587,6,27,7,5,21,0,835,16.27185628742515,DEL,BOM,COK,None,None,None
6178,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,18,9,0,4,25,1165,10.620600858369098,DEL,BOM,COK,None,None,None
6179,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,5999,3,21,7,10,22,20,910,6.592307692307692,DEL,HYD,COK,None,None,None
6180,Air India,Kolkata,Banglore,2 stops,No info,10907,5,18,8,20,18,30,610,17.880327868852458,CCU,JAI,BOM,BLR,None,None
6181,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,6,6,9,35,21,5,690,20.508695652173913,CCU,DEL,BLR,None,None,None
6182,IndiGo,Banglore,Delhi,non-stop,No info,4591,5,12,23,30,2,20,170,27.00588235294118,BLR,DEL,None,None,None,None
6183,Jet Airways,Banglore,New Delhi,1 stop,No info,19225,3,6,14,5,20,20,375,51.266666666666666,BLR,BOM,DEL,None,None,None
6184,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,6,14,5,12,0,1315,7.34828897338403,CCU,BOM,BLR,None,None,None
6185,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,1,6,30,18,15,705,15.381560283687943,CCU,BOM,BLR,None,None,None
6186,Multiple carriers,Delhi,Cochin,1 stop,No info,13727,5,9,13,0,21,0,480,28.597916666666666,DEL,BOM,COK,None,None,None
6187,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,5,18,9,35,21,5,690,20.508695652173913,CCU,DEL,BLR,None,None,None
6188,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,27,18,15,12,35,1100,9.329090909090908,DEL,BOM,COK,None,None,None
6189,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,12,9,0,11,25,145,26.71034482758621,CCU,BLR,None,None,None,None
6190,Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,24,19,30,4,25,535,24.325233644859814,DEL,JAI,BOM,COK,None,None
6191,Air India,Kolkata,Banglore,non-stop,No info,5510,6,21,14,15,16,45,150,36.733333333333334,CCU,BLR,None,None,None,None
6192,Jet Airways,Delhi,Cochin,2 stops,No info,17282,3,9,10,45,4,25,1060,16.30377358490566,DEL,BDQ,BOM,COK,None,None
6193,Multiple carriers,Delhi,Cochin,2 stops,No info,6653,3,27,9,45,21,20,695,9.572661870503596,DEL,HYD,MAA,COK,None,None
6194,IndiGo,Delhi,Cochin,1 stop,No info,12214,3,3,9,55,15,10,315,38.77460317460317,DEL,MAA,COK,None,None,None
6195,Air India,Mumbai,Hyderabad,non-stop,No info,3625,5,1,13,55,15,25,90,40.27777777777778,BOM,HYD,None,None,None,None
6196,IndiGo,Banglore,New Delhi,non-stop,No info,6860,3,3,8,30,11,30,180,38.111111111111114,BLR,DEL,None,None,None,None
